"","x"
"1",-0.14812742745158
"2",0.348349691523111
"3",0.0690242762073631
"4",0.0495259520272998
"5",-0.558521639547054
"6",-0.643608961131864
"7",0.876145182020218
"8",0.249510127206487
"9",0.0113887573734634
"10",0.0966948703636168
"11",0.0999411100206136
"12",0.0339257089354881
"13",-0.603201322402235
"14",-0.0270099395265193
"15",-0.0656905315719063
"16",-0.31271390288086
"17",-0.00717499225385443
"18",-0.0985384449788755
"19",-0.261236598321986
"20",-0.0208629613523953
"21",-0.0786994311364142
"22",-0.0395438154456956
"23",-0.251885143010637
"24",0.672507073188692
"25",0.118063789420846
"26",-0.0536873534456645
"27",0.0274465157340787
"28",0.0058241159100007
"29",-0.0170350797307808
"30",-0.496222072463849
"31",-0.0326930235969933
"32",0.542545192253234
"33",0.308398986176009
"34",0.546553592021459
"35",0.166380751618576
"36",0.0146322393225019
"37",-0.445554935809519
"38",-0.748010930658014
"39",0.485036109378914
"40",-0.536432221864185
"41",-0.0770569056702262
"42",-0.0659080904778672
"43",-0.240589630501957
"44",0.584022915433367
"45",0.0352192536821214
"46",-0.269199213947256
"47",0.380549361578574
"48",0.105942811103274
"49",-0.0791503208397535
"50",0.184376642314339
"51",0.00739543053637098
"52",0.041769705047035
"53",0.120380481259208
"54",0.255461876794653
"55",0.0362573868016763
"56",-0.909712502647366
"57",-0.433441720330807
"58",-0.18443074444038
"59",0.989427212986298
"60",0.0979438230368027
"61",-0.104483300790035
"62",0.144204662168158
"63",-0.736529578717484
"64",-0.476509703349128
"65",0.259830849269418
"66",-0.846273893478175
"67",-0.694658115370905
"68",0.0925336923904438
"69",-0.213955663861126
"70",0.0262508347744879
"71",0.549453072195083
"72",0.324373834065142
"73",0.0982662103620942
"74",-0.125754903283689
"75",0.0622133738915838
"76",0.226859657660719
"77",0.122374016564411
"78",-0.49389735997829
"79",0.0577309999502172
"80",-0.0363528748800476
"81",0.0319585975345431
"82",0.428663071909962
"83",0.0275693674673661
"84",-0.136422308352643
"85",0.147396375750563
"86",0.15891722565103
"87",-0.584926947798361
"88",-0.131594758647124
"89",0.188425698806624
"90",0.0595063833635703
"91",0.199836374227447
"92",0.285470267512213
"93",-0.159266233848267
"94",0.291968671316063
"95",0.0723200057009257
"96",0.0163127444444234
"97",0.241768559885824
"98",-0.103889576060486
"99",-0.0327700835512501
"100",0.0415491557533113
"101",0.0441100634618325
"102",0.0464187631194263
"103",0.121434100650654
"104",0.108333744224953
"105",0.173287288606738
"106",0.0705920225293568
"107",0.0382104683007862
"108",0.107316579547163
"109",-0.939123818017175
"110",-0.851570579396787
"111",0.67188706250332
"112",0.0408028090406712
"113",-0.0478900739019994
"114",0.273708442668752
"115",-0.203900952080361
"116",0.302952114704279
"117",0.0904989421950397
"118",0.100090137773766
"119",0.0894196716946577
"120",0.173608503447872
"121",-0.00791155663915018
"122",0.0529499743944915
"123",-0.0479424937039096
"124",0.116910246474169
"125",0.058939699005665
"126",0.326022704856869
"127",0.320567181394126
"128",-0.0299756725640418
"129",-0.497870077853163
"130",-0.304552208090938
"131",-0.163349121563409
"132",-0.388244355820324
"133",-0.148357633847035
"134",-0.0308187203681655
"135",-0.0578721367382137
"136",-0.19732429275105
"137",-0.102685091535182
"138",0.220218845651724
"139",0.298554343264578
"140",0.0809262990094192
"141",-0.111826737724779
"142",0.247101053666925
"143",-0.685341094534125
"144",-0.66217030763514
"145",0.417090481519597
"146",0.382095313337651
"147",-0.286067321914146
"148",0.292195240546104
"149",0.0303203570701415
"150",-0.30706463878037
"151",0.296064992307749
"152",-0.04473160999651
"153",-0.040200468881661
"154",0.00186093628641326
"155",-0.183926447583413
"156",-0.763296367304055
"157",0.219493963319332
"158",0.0283589577819868
"159",0.0837361195418743
"160",-0.0958100638568596
"161",0.395554367891383
"162",0.0908665761856327
"163",-0.172211782771394
"164",-0.075529817491502
"165",0.100587024863914
"166",-0.0386328774957672
"167",-0.030263057340362
"168",0.0399949686556786
"169",0.122731057779496
"170",-0.145222541081552
"171",-0.161383444041155
"172",0.129394235977029
"173",-0.0229224333562807
"174",-0.561355707639495
"175",0.359999838397936
"176",-0.423590681823858
"177",-0.100967522522717
"178",0.621101336985691
"179",1.05502453022369
"180",0.0237814956359887
"181",0.658070257658523
"182",0.22728075078477
"183",-1.08135524674686
"184",-0.271345749639594
"185",-1.17754523630423
"186",-0.488116381570418
"187",0.748581549734242
"188",0.217803961395886
"189",-0.0558184205811336
"190",-1.02698815784843
"191",0.602080662271593
"192",0.284483535244955
"193",-0.0294628888648592
"194",-0.0113017691800278
"195",-1.34652631384102
"196",-0.476502331247467
"197",-0.169943042122543
"198",0.606589384708833
"199",0.239631309957965
"200",0.0947282871566183
"201",-0.358401048378629
"202",-0.705586325861197
"203",-0.317571888725668
"204",0.395751897148058
"205",0.179803079051835
"206",-0.247595771548727
"207",-0.089270875254384
"208",0.104208119140115
"209",-0.276419709252326
"210",1.44473763146346
"211",0.175589346821594
"212",0.811999839455908
"213",-1.3576690814439
