"","x"
"543",198.5
"544",279.5
"545",275
"546",284.5
"547",282
"548",279
"549",279
"550",135
"551",283
"552",273
"553",116
"554",116
"555",116
"556",116
"557",116
"558",116
"559",237.4304
"560",249.88
"561",142
"562",274.12
"563",143
"564",143
"565",259.64
"566",251.64
"567",135
"568",135
"569",116
"570",116
"571",214
"572",210
"573",137.2
"574",137.2
"575",127
"576",194
"577",120
"578",190
"579",146.12
"580",131.04
"581",137.5
"582",130
"583",130
"584",130
"585",189.25
"586",189.25
"587",130.25
"588",132
"589",132
"590",0
"591",0
"592",202.92
"593",265
"594",265
"595",283.95
"596",101
"597",101
"598",101
"599",101
"600",101
"601",101
"602",101
"603",101
"604",101
"605",101
"606",142.2
"607",161.94
"608",268
"609",268
"610",268
"611",268
"612",125
"613",125
"614",0
"615",125
"616",136
"617",136
"618",136
"619",210
"620",200
"621",195
"622",138.01
"623",100
"624",133.15
"625",136
"626",184
"627",184
"628",136.1
"629",133.2
"630",185
"631",185
"632",185
"633",184.9
"634",136.1
"635",136.1
"636",135.92
"637",179
"638",275.59912
"639",276
"640",275
"641",250
"642",289
"643",280
"644",280
"645",146
"646",146
"647",146
"648",150
"649",147
"650",150
"651",151
"652",153
"653",153.1
"654",160.05
"655",160
"656",161
"657",161
"658",161
"659",2950
"660",162.2
"661",162.2
"662",153.27
"663",162.2
"664",162.9
"665",153
"666",146
"667",217
"668",250
"669",250
"670",225
"671",205
"672",205
"673",199
"674",205
"675",188.52
"676",143
"677",150.5
"678",145
"679",142
"680",141
"681",142
"682",142
"683",145
"684",199
"685",250
"686",205
"687",198.98
"688",278
"689",275
"690",278
"691",278
"692",275
"693",275
"694",278
"695",278
"696",278
"697",278
"698",295
"699",275
"700",275
"701",274
"702",278
"703",278
"704",300
"705",300
"706",390
"707",475
"708",395
"709",350
"710",158
"711",280
"712",305
"713",250
"714",235
"715",235
"716",158
"717",219.5
"718",219.5
"719",145
"720",198
"721",198
"722",198
"723",185
"724",190
"725",185
"726",142.1
"727",185
"728",145
"729",185
"730",145
"731",190
"732",198
"733",203
"734",207
"735",207
"736",198
"737",190
"738",289
"739",239.5
"740",235
"741",235
"742",239.5
"743",239.5
"744",230
"745",230
"746",230
"747",239
"748",230
"749",143.70984
"750",140
"751",210.05
"752",211.78
"753",145
"754",237
"755",245
"756",245
"757",146.01
"758",161
"759",237
"760",151
"761",143.25688
"762",210
"763",215
"764",146.1
"765",0
"766",65
"767",65
"768",60
"769",60
"770",125
"771",192
"772",192
"773",200
"774",192
"775",102
"776",148
"777",141.41
"778",192
"779",102.5
"780",202
"781",210
"782",215
"783",261.84
"784",271.23
"785",279.2704
"786",290.52
"787",156.79742
"788",155
"789",293.88
"790",295.89
"791",284.33
"792",281
"793",260.07
"794",156
"795",154
"796",155
"797",160
"798",155
"799",148
"800",155
"801",771.99
"802",671.99
"803",671.99
"804",601.99
"805",157
"806",157
"807",156
"808",153.5
"809",182
"810",139
"811",215
"812",149.5
"813",236
"814",230
"815",230
"816",228.76915
"817",145
"818",145
"819",223
"820",145
"821",222.5
"822",222.5
"823",295
"824",222.5
"825",222.5
"826",265
"827",210
"828",207
"829",200
"830",300
"831",290
"832",295
"833",290
"834",295
"835",295
"836",290
"837",290
"838",279
"839",269.98
"840",279
"841",295
"842",263
"843",263
"844",263
"845",263
"846",146
"847",390
"848",390
"849",275.26
"850",277.06
"851",277.56
"852",272.42
"853",259.34
"854",267.16
"855",258.68
"856",229.93
"857",142.55
"858",225
"859",222
"860",222
"861",210
"862",206.5
"863",202
"864",198
"865",193
"866",193
"867",192
"868",191
"869",190.9
"870",125
"871",192
"872",190.9
"873",188.9
"874",155.21
"875",154.51
"876",125
"877",0
"878",112.12
"879",215
"880",233
"881",219
"882",219
"883",219
"884",219
"885",207
"886",207
"887",217
"888",132
"889",136
"890",141.1
"891",137.1
"892",136
"893",136
"894",133
"895",142
"896",235
"897",245
"898",249
"899",252.37
"900",252.37
"901",231.3
"902",246
"903",235
"904",219
"905",225
"906",210
"907",205
"908",134.5
"909",210
"910",126.1
"911",126.1
"912",130
"913",130
"914",130
"915",126.1
